name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps,ncaa_conf,ncaa_pos,ncaa_exp,ncaa_height,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_fg_pct,ncaa_two_pct,ncaa_three_pct,ncaa_ft_pct,ncaa_oreb,ncaa_dreb,ncaa_rpg,ncaa_apg,ncaa_ast_to,ncaa_spg,ncaa_bpg,ncaa_tpg,ncaa_ortg,ncaa_adj_oe,ncaa_drtg,ncaa_porpag,ncaa_dporpag,ncaa_bpm,ncaa_obpm,ncaa_dbpm,ncaa_usage,birth_date,draft_age
jameel watkins,2000,999.0,PF-C,Georgetown,College/University,,81.5,,244.5,90.0,110.0,,,,28.0,30.5,12.38,,3.45,11.0,Big East,,,,34.0,12.3,4.1,0.417,0.417,,0.492,,,3.3,0.2,,0.4,1.1,1.3,,,,,,,,,,,
jarrett stephens,2000,999.0,PF,Penn St.,College/University,,77.25,,258.0,81.25,103.0,,,,27.0,29.0,11.98,,3.46,13.0,Big Ten,,,,35.0,34.9,18.8,0.566,0.577,0.294,0.698,,,10.5,1.4,,1.8,0.6,2.4,,,,,,,,,,,
jimmie hunter,2000,999.0,SG-PG,,,,75.0,,170.0,80.0,100.0,,,,29.0,36.0,11.23,,3.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
johnny hemsley,2000,999.0,SG-SF,Miami (FL),College/University,,74.75,,200.0,80.0,100.5,,,,31.5,35.0,11.5,,3.19,5.0,Big East,,,,30.0,35.8,18.1,0.398,0.451,0.32,0.849,,,3.6,1.7,,1.3,0.3,2.3,,,,,,,,,,,
julius doc robinson,2000,999.0,PG,,,,72.0,,184.0,75.75,95.5,,,,30.0,37.5,12.54,,3.41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
justin love,2000,999.0,PG-SG,Saint Louis,College/University,,73.5,,205.5,76.5,97.5,,,,31.0,38.5,10.99,,3.31,24.0,CUSA,,,,33.0,31.2,18.2,0.438,0.446,0.425,0.821,,,4.9,2.5,,1.5,0.2,2.9,,,,,,,,,,,
karim shabazz,2000,999.0,C,Providence,College/University,,83.5,,224.0,87.0,111.5,,,,24.5,28.0,12.72,,3.36,2.0,Big East,,,,21.0,30.4,10.4,0.435,0.435,,0.56,,,8.2,1.5,,0.8,2.6,,,,,,,,,,,,
kenyon jones,2000,999.0,PF-C,San Francisco,College/University,,81.0,,282.0,85.0,108.0,,,,28.5,30.0,12.44,,3.6,20.0,WCC,,,,28.0,26.1,16.5,0.583,0.583,0.571,0.701,,,9.0,0.9,,0.9,1.4,2.5,,,,,,,,,,,
lamont barnes,2000,999.0,PF-C,Temple,College/University,,80.5,,235.5,87.5,108.0,,,,28.0,29.5,12.3,,3.4,10.0,A-10,,,,33.0,29.8,9.0,0.484,0.493,0.0,0.64,,,5.0,0.8,,0.8,1.2,1.2,,,,,,,,,,,
malik allen,2000,999.0,PF-C,Villanova,College/University,,80.25,,271.0,86.5,109.0,,,,25.5,29.0,11.83,,3.38,13.0,Big East,,,,33.0,33.4,14.2,0.511,0.511,,0.692,,,7.4,1.0,,0.7,1.9,2.2,,,,,,,,,,1978-06-27,22.004
marcus goree,2000,999.0,SF-PF,West Virginia,College/University,,79.5,,239.0,84.5,105.5,,,,29.5,33.5,12.0,,3.25,13.0,Big East,,,,28.0,34.8,14.5,0.532,0.566,0.382,0.71,,,8.3,1.9,,1.6,2.5,2.5,,,,,,,,,,,
mario bland,2000,999.0,PF,Miami (FL),College/University,,77.5,,287.0,84.0,103.0,,,,27.0,31.0,13.04,,3.47,15.0,Big East,,,,34.0,27.9,12.6,0.473,0.497,0.167,0.73,,,7.0,1.2,,0.8,0.3,1.9,,,,,,,,,,,
matt santangelo,2000,999.0,PG,Gonzaga,College/University,,72.0,,177.0,75.0,94.0,,,,33.5,43.0,10.66,,3.06,12.0,WCC,,,,35.0,35.7,13.2,0.373,0.406,0.335,0.654,,,3.9,6.4,,0.8,0.2,2.6,,,,,,,,,,,
matthew nielsen,2000,999.0,PF,,,,81.0,,223.0,82.5,106.0,,,,26.0,29.0,11.28,,3.35,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael hermon,2000,999.0,SG-PG,,,,74.75,,195.0,78.25,98.5,,,,29.0,33.0,11.79,,3.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nate johnson,2000,999.0,SF,Louisville,College/University,,78.5,,211.5,80.5,104.0,,,,27.0,33.5,11.9,,3.33,13.0,CUSA,,,,31.0,30.8,13.9,0.477,0.481,0.451,0.692,,,5.4,3.1,,1.9,0.7,2.6,,,,,,,,,,,
ndongo n diaye,2000,999.0,C,,,,83.5,,208.0,87.5,112.5,,,,24.5,27.5,13.16,,3.69,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick sheppard,2000,999.0,PF-C,Pepperdine,College/University,,81.5,,273.0,83.0,107.5,,,,23.5,25.5,12.14,,3.52,18.0,WCC,,,,34.0,22.4,9.1,0.579,0.579,,0.596,,,6.7,0.7,,0.8,0.4,1.9,,,,,,,,,,,
pepe sanchez,2000,999.0,PG,Temple,College/University,,75.0,,194.0,75.5,96.0,,,,26.0,31.0,11.62,,3.44,8.0,A-10,,,,25.0,33.6,5.6,0.324,0.306,0.338,0.786,,,5.5,8.0,,3.4,0.1,2.1,,,,,,,,,,,
reed rawlings,2000,999.0,SG-SF,Samford,College/University,,78.25,,218.0,81.25,104.0,,,,28.5,33.5,11.1,,3.27,13.0,TAAC,,,,32.0,31.3,14.6,0.492,0.621,0.385,0.77,,,4.6,1.6,,1.9,0.4,1.9,,,,,,,,,,,
ron hale,2000,999.0,SG-SF,Florida St.,College/University,,79.5,,202.0,83.0,104.5,,,,29.5,34.5,12.58,,3.2,11.0,ACC,,,,28.0,30.9,15.6,0.399,0.423,0.355,0.755,,,4.8,1.2,,0.8,0.9,2.4,,,,,,,,,,,
schea cotton,2000,999.0,SF,Alabama,College/University,,76.25,,219.5,79.0,100.0,,,,34.0,38.0,11.55,,3.0,19.0,SEC,,,,27.0,27.7,15.5,0.429,0.466,0.255,0.717,,,4.5,1.6,,0.9,0.2,3.4,,,,,,,,,,,
