name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps,ncaa_conf,ncaa_pos,ncaa_exp,ncaa_height,ncaa_games,ncaa_mpg,ncaa_ppg,ncaa_fg_pct,ncaa_two_pct,ncaa_three_pct,ncaa_ft_pct,ncaa_oreb,ncaa_dreb,ncaa_rpg,ncaa_apg,ncaa_ast_to,ncaa_spg,ncaa_bpg,ncaa_tpg,ncaa_ortg,ncaa_adj_oe,ncaa_drtg,ncaa_porpag,ncaa_dporpag,ncaa_bpm,ncaa_obpm,ncaa_dbpm,ncaa_usage,birth_date,draft_age
pelle larsson,2024,44.0,SG,Arizona,College/University,HOU,77.25,,212.4,79.5,102.0,,8.75,10.25,30.5,38.0,11.15,2.91,3.06,,P12,Combo G,Sr,6-6,36.0,,12.75,,0.5680000000000001,0.426,0.75,1.0556,3.0,4.0556,3.7222,1.97056479,0.9444,0.2222,,121.0,3.5,191.434,125.406,3.66784,7.13387,4.80796,2.3259,19.1,2001-02-23,23.337
jamal shead,2024,45.0,PG,Houston,College/University,SAC,72.25,,200.8,75.0,96.0,,8.25,8.75,30.0,37.5,10.87,2.87,2.94,,B12,Pure PG,Sr,6-1,37.0,,12.9189,,0.456,0.309,0.779,0.9189,2.7838000000000003,3.7027,6.2973,3.1067094299999995,2.1622,0.4595,,113.1,2.5,225.602,128.65,5.010929999999999,10.853400000000002,5.964579999999999,4.88884,26.4,2002-07-24,21.925
cam christie,2024,46.0,SG,Minnesota,College/University,LAC,76.5,,190.4,80.0,101.5,,8.0,8.0,32.5,35.5,11.07,2.95,3.07,,B10,Wing G,Fr,6-6,33.0,,11.363600000000002,,0.424,0.391,0.779,0.2424,3.3636,3.6061,2.2424,1.94737295,0.6364,0.3333,,110.3,2.2,151.74299999999997,111.309,2.79981,1.97026,2.32276,-0.352504,18.2,2005-07-24,18.924
antonio reeves,2024,47.0,SG,Kentucky,College/University,ORL,76.5,,186.6,80.25,100.5,,9.0,10.0,29.0,36.0,11.44,3.16,3.14,,SEC,Wing G,Sr,6-6,33.0,,20.2121,,0.557,0.447,0.8630000000000001,0.7273,3.4242,4.1515,1.6364,1.3500535800000002,0.6667,0.2424,,126.5,2.3,158.985,136.741,2.67538,3.80915,6.082809999999999,-2.27366,23.6,2000-11-20,23.598
harrison ingram,2024,48.0,SF,North Carolina,College/University,SAS,77.25,,233.6,84.25,102.5,,9.0,10.25,29.0,35.0,11.36,2.94,3.17,,ACC,Wing F,Jr,6-7,37.0,,12.1892,,0.467,0.385,0.612,2.6216,6.216200000000001,8.8378,2.1892,1.58821821,1.3784,0.4054,,113.9,2.3,261.879,118.146,4.5238,8.81996,4.60192,4.21804,19.0,2002-11-27,21.58
tristen newton,2024,49.0,PG,Connecticut,College/University,IND,75.25,,191.8,78.75,100.0,,8.5,9.0,25.0,32.5,10.96,2.84,3.24,,BE,Combo G,Sr,6-5,40.0,,15.075,,0.509,0.321,0.808,1.4249999999999998,5.15,6.575,6.2,2.53061212,0.925,0.3,,119.9,2.1,236.929,134.146,4.50489,9.71286,6.87978,2.83308,26.1,2001-04-26,23.168
enrique freeman,2024,50.0,PF,Akron,College/University,IND,79.25,,212.0,86.0,108.0,,8.75,10.0,30.5,35.0,10.99,3.04,3.26,,MAC,PF/C,Sr,6-7,33.0,,18.6286,,0.621,0.365,0.729,3.5429,9.228599999999998,12.7714,1.5714,0.6179558700000001,0.8,1.6857,,118.4,3.5,262.588,128.77499999999998,4.27698,6.07283,1.96265,4.110179999999999,28.1,2000-07-29,23.91
melvin ajinca,2024,51.0,SF,Saint-Quentin BB (France),Other Team/Club,NYK,79.25,,213.8,79.5,106.5,,8.5,9.75,26.5,31.0,11.78,3.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-06-24,20.005
quinten post,2024,52.0,C,Boston College,College/University,GSW,84.0,,244.4,86.5,112.0,,9.25,10.0,24.0,27.0,11.48,3.03,3.4,,ACC,PF/C,Sr,7-0,35.0,,17.0,,0.543,0.431,0.8210000000000001,2.0571,6.0857,8.1429,2.8571,1.16279358,0.8571000000000001,1.7429,,114.7,3.6,237.316,129.605,3.63241,8.33823,4.14267,4.19556,27.0,2000-03-21,24.266
cam spencer,2024,53.0,SG,Connecticut,College/University,DET,75.0,,201.8,77.0,98.5,,8.5,9.75,23.0,30.5,11.07,3.0,3.35,,BE,Combo G,Sr,6-4,40.0,,14.325,,0.539,0.44,0.911,1.05,3.8,4.85,3.625,3.625,1.475,0.25,,137.1,2.6,237.648,139.66,4.489470000000001,11.5897,8.359450000000002,3.23024,18.5,2000-04-06,24.222
anton watson,2024,54.0,,Gonzaga,College/University,BOS,,,,,,,,,,,,,,,WCC,Wing F,Sr,6-8,34.0,,14.5143,,0.6,0.408,0.656,2.2,4.9429,7.142899999999999,2.5714,1.87501818,1.5143,0.6571,,125.5,3.0,229.411,129.309,3.98634,9.59463,6.073060000000001,3.52157,20.9,2000-10-06,23.721
bronny james,2024,55.0,SG,Southern California,College/University,LAL,73.5,,210.4,79.25,98.5,,8.5,9.5,32.0,40.5,10.96,3.02,3.09,,P12,Combo G,Fr,6-4,25.0,,4.84,,0.481,0.267,0.6759999999999999,0.28,2.56,2.84,2.12,1.96296278,0.76,0.2,,96.4,3.5,88.69879999999999,96.8105,2.02952,0.460397,-0.5043139999999999,0.964712,16.5,2004-10-06,19.721
kevin mccullar,2024,56.0,SF,Kansas,College/University,PHX,77.25,,205.8,81.0,103.0,,8.75,9.5,,,,,,,B12,Wing G,Sr,6-7,25.0,,18.3462,,0.504,0.3389999999999999,0.81,0.7692,5.2308,6.0,4.115399999999999,1.62119351,1.5,0.3846,,107.5,2.3,167.384,124.3,4.21395,6.4756800000000005,3.78314,2.69254,27.1,2001-03-15,23.283
ulrich chomche,2024,57.0,C,APR BBC (Rwanda),Other Team/Club,MEM,82.25,,232.4,88.0,109.0,,9.25,10.25,29.0,35.5,11.74,2.84,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-12-30,18.489
ariel hukporti,2024,58.0,C,MHP Riesen (Germany),Other Team/Club,DAL,82.75,,246.2,86.5,111.0,,9.25,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-12,22.207
alex karaban,2024,999.0,PF,Connecticut,College/University,,78.5,,219.2,83.0,106.5,,8.75,9.25,22.5,32.0,11.23,,3.2,,BE,Wing F,So,6-8,39.0,,13.2564,,0.64,0.379,0.885,1.4358999999999995,3.6154,5.0513,1.4614999999999998,1.7271331399999998,0.8718000000000001,0.8462000000000001,,130.3,2.2,210.869,129.969,4.15724,9.37861,6.18427,3.19434,17.1,,
boogie ellis,2024,999.0,PG-SG,USC,College/University,,72.75,,185.0,79.0,98.0,,9.0,9.5,31.5,39.5,11.98,3.33,3.19,,P12,Combo G,Sr,6-3,29.0,,16.482799999999997,,0.439,0.418,0.72,0.2759,3.2069,3.4828,2.9655,1.6538397799999998,1.4483,0.1379,,110.1,2.2,164.86200000000002,119.578,3.27674,3.92332,4.00911,-0.0857942,23.0,2000-12-12,23.537
coleman hawkins,2024,999.0,PF,Illinois,College/University,,80.25,,215.2,84.0,107.0,,8.75,8.75,24.0,29.5,12.05,3.21,3.3,,B10,Wing F,Sr,6-10,35.0,,12.0857,,0.535,0.369,0.7919999999999999,1.3714,4.6857,6.057099999999999,2.7143,1.72731312,1.4570999999999998,1.0571,,120.1,3.3,235.052,125.189,3.95817,10.508299999999998,6.25895,4.24931,18.4,2001-12-10,22.543
david jones,2024,999.0,SF,Memphis,College/University,,75.5,,211.2,78.75,100.0,,8.5,9.5,28.0,34.5,11.08,3.3,3.2,,Amer,Wing G,Sr,6-6,32.0,,21.8125,,0.518,0.38,0.7969999999999999,2.5625,5.062499999999999,7.624999999999999,1.8438,0.6145999799999999,2.1875000000000004,0.4375,,114.0,2.4,231.687,131.02800000000002,3.66025,5.5774,4.83953,0.737873,30.5,,
hunter sallis,2024,999.0,SG,Wake Forest,College/University,,75.5,,179.4,81.75,100.5,,8.0,9.5,29.5,36.0,10.82,3.16,3.11,,ACC,Wing G,Jr,6-5,34.0,,18.0294,,0.542,0.405,0.7829999999999999,0.6471,3.4412,4.0882000000000005,2.5,1.32809177,1.0882,0.5588000000000001,,115.7,2.1,203.595,126.996,3.70168,5.281650000000001,4.50219,0.7794599999999999,23.9,2003-03-26,21.254
isaac jones,2024,999.0,C,Washington St.,College/University,,79.75,,235.0,87.0,108.0,,9.25,10.25,29.0,35.0,11.49,3.0,3.38,,P12,C,Sr,6-9,35.0,,15.3429,,0.596,0.071,0.715,2.2857000000000003,5.2857,7.571400000000001,1.5429,0.8059865199999999,0.5429,1.0286,,117.7,2.6,204.105,127.494,3.865,5.322579999999999,2.69327,2.6293100000000003,23.6,2000-07-11,23.959
izan almansa,2024,999.0,C,,,,81.25,,219.6,85.0,110.0,,9.25,9.25,28.0,35.0,10.94,2.96,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-06-07,19.053
jalen bridges,2024,999.0,SF,Baylor,College/University,,78.75,,213.4,82.0,105.0,,9.0,10.0,25.0,32.0,11.14,3.0,3.16,,B12,Wing F,Sr,6-9,34.0,,12.1714,,0.531,0.417,0.8230000000000001,1.9143,3.7429,5.657099999999999,1.4286,1.47066082,1.0571,0.5714,,130.1,1.8,187.054,132.45800000000003,3.4233,8.71618,6.71899,1.99718,16.8,2001-05-14,23.118
jamir watkins,2024,999.0,SF,Florida St.,College/University,,77.0,,211.6,82.75,104.0,,9.0,9.5,30.5,35.5,10.64,3.16,3.01,,ACC,Wing G,Jr,6-7,33.0,,15.5758,,0.5,0.344,0.7949999999999999,1.4848,4.5455,6.0303,2.7576,1.08332352,1.9394,0.7878999999999999,,109.4,4.0,211.798,125.085,3.51244,7.627209999999999,4.0778,3.54941,28.0,2001-07-06,22.973
jaxson robinson,2024,999.0,SG,BYU,College/University,,76.75,,188.6,83.25,103.0,,9.0,9.5,29.5,34.0,11.39,3.06,3.17,,B12,Wing G,Sr,6-7,33.0,,14.0909,,0.532,0.351,0.908,0.3939,2.1212,2.5152,1.303,0.8430928100000001,0.7273,0.3939,,108.4,2.8,146.343,118.526,2.92118,2.3221,2.4568099999999995,-0.134714,23.4,2002-12-03,21.563
jesse edwards,2024,999.0,C,West Virginia,College/University,,83.5,,236.0,89.0,111.0,,9.25,10.0,30.5,35.5,11.24,3.23,3.33,,B12,C,Sr,6-11,23.0,,15.0435,,0.624,0.0,0.523,3.1739,4.8696,8.0435,1.2173999999999998,0.65115528,0.6087,1.6957,,110.8,4.3,135.412,126.832,2.86747,6.767899999999999,3.4893,3.2786,26.5,2000-03-18,24.274
jt toppin,2024,999.0,PF,New Mexico,College/University,,79.0,,221.0,84.5,106.0,,9.25,9.25,28.5,34.0,11.12,3.01,3.27,,MWC,PF/C,Fr,6-9,35.0,,12.3611,,0.653,0.344,0.56,3.6667,5.3889,9.055600000000002,0.5832999999999999,0.6363041199999999,1.0556,1.8889,,128.9,3.9,224.991,130.676,3.77886,9.58233,4.448440000000001,5.1339,19.1,,
justin edwards,2024,999.0,SF,Kentucky,College/University,,78.0,,209.4,82.0,102.5,,8.75,8.75,28.0,32.5,12.07,3.22,3.18,,SEC,Wing F,Fr,6-8,32.0,,8.781199999999998,,0.5640000000000001,0.365,0.776,1.1875,2.1875000000000004,3.375,0.9375,1.11104526,0.8750000000000001,0.2188,,117.2,4.1,118.83,117.786,1.97935,3.19723,3.79626,-0.599027,18.0,2003-12-16,20.528
keshad johnson,2024,999.0,PF,Arizona,College/University,,78.25,,224.0,82.25,103.0,,9.25,10.75,31.5,42.0,11.38,3.02,3.03,,P12,Wing F,Sr,6-7,36.0,,11.5,,0.599,0.387,0.71,2.0,3.8611,5.8611,1.8333,1.17851629,1.0,0.7222,,119.6,3.0,202.129,122.532,3.65967,8.602580000000001,4.481370000000001,4.12122,18.3,2001-06-23,23.009
mark sears,2024,999.0,PG,Alabama,College/University,,70.25,,192.4,74.0,92.0,,8.0,8.5,32.0,39.0,11.96,3.26,3.33,,SEC,Scoring PG,Sr,6-1,37.0,,21.5405,,0.5650000000000001,0.436,0.8570000000000001,0.8649000000000001,3.3243,4.1892000000000005,4.0,1.62634677,1.6216,0.1081,,129.1,2.3,218.751,145.85600000000002,3.38708,8.325980000000001,8.34704,-0.0210693,25.6,2002-02-19,22.349
michael ajayi,2024,999.0,SF,Pepperdine,College/University,,77.75,,227.8,84.75,106.5,,9.5,9.75,27.0,34.5,11.77,3.17,3.21,,WCC,PF/C,Jr,6-7,31.0,,17.2121,,0.467,0.468,0.702,2.303,7.5758,9.8788,1.9091,0.95455003,0.9394,0.4848,,108.6,2.9,215.914,116.427,3.0961,1.40145,1.08926,0.312185,25.9,,
n faly dante,2024,999.0,C,Oregon,College/University,,82.0,,260.2,90.0,111.0,,9.25,10.0,27.0,33.0,11.55,3.04,3.23,,P12,C,Sr,6-11,22.0,,17.0,,0.695,0.0,0.613,2.7727,6.4091000000000005,9.1818,1.5909,0.6730833999999999,1.7272999999999998,1.8636,,120.1,2.7,167.429,134.38200000000003,4.351360000000001,10.2352,4.094069999999999,6.141109999999999,24.2,2001-10-19,22.686
nae qwan tomlin,2024,999.0,PF,Memphis,College/University,,80.25,,205.0,86.5,109.0,,9.0,10.0,27.5,32.5,11.63,3.54,3.43,,Amer,Stretch 4,Sr,6-10,21.0,,14.0476,,0.6809999999999999,0.396,0.774,2.2857000000000003,3.6667,5.9524,0.6667,0.63640701,0.7619,1.1429,,132.7,4.7,106.42,132.54899999999998,2.649,5.658149999999999,4.62965,1.0285,19.4,2000-12-19,23.518
nique clifford,2024,999.0,SF,Colorado St.,College/University,,77.0,,198.6,80.0,102.0,,8.0,9.0,30.0,37.0,10.95,3.1,3.08,,MWC,Wing F,Sr,6-6,34.0,,12.1667,,0.599,0.375,0.753,1.0556,6.5833,7.6389,2.9721999999999995,1.67184159,1.3889,0.8889,,113.5,3.6,235.52,118.117,4.2511600000000005,8.547469999999999,2.8064599999999995,5.74101,20.6,2002-02-09,22.376
payton sandfort,2024,999.0,SF,Iowa,College/University,,78.25,,212.0,80.0,104.0,,8.5,9.0,22.0,28.0,11.57,2.84,3.43,,B10,Stretch 4,Jr,6-7,34.0,,16.3529,,0.551,0.379,0.911,1.2058999999999995,5.3824,6.5882000000000005,2.7059,2.04450312,0.7059,0.4118,,121.6,3.3,191.269,131.611,2.94116,7.0662400000000005,7.12527,-0.0590243,22.6,2002-07-12,21.958
pj hall,2024,999.0,C,Clemson,College/University,,80.25,,239.6,85.5,103.5,,9.0,9.75,32.5,39.5,11.76,3.01,3.35,,ACC,PF/C,Sr,6-10,36.0,,18.3056,,0.5750000000000001,0.315,0.779,1.5833,4.8056,6.3889,1.4166999999999998,0.7612164999999999,0.7778,1.4166999999999998,,111.8,4.3,215.758,130.90800000000002,3.62175,6.78183,3.76244,3.0194,30.2,2002-02-21,22.344
reece beekman,2024,999.0,PG,Virginia,College/University,,73.25,,196.44,78.5,100.0,,8.5,9.0,30.0,36.5,10.86,3.08,2.94,,ACC,Pure PG,Sr,6-3,34.0,,14.294099999999998,,0.487,0.31,0.754,0.3529,3.2941000000000003,3.647100000000001,6.2353000000000005,3.02860896,2.0294,0.5,,107.6,1.5,210.892,122.621,4.5946,8.680909999999999,4.570640000000001,4.11027,28.8,2001-10-08,22.716
trentyn flowers,2024,999.0,SF,,,,78.5,,201.4,80.25,100.5,,8.75,9.5,34.5,42.0,11.01,3.0,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-03-08,19.302
trevon brazile,2024,999.0,PF,Arkansas,College/University,,81.25,,215.0,87.75,108.5,,9.0,10.25,33.0,41.0,11.15,3.01,3.09,,SEC,Stretch 4,So,6-10,26.0,,8.5769,,0.585,0.353,0.695,1.6923,4.1923,5.8846,0.4615,0.30766666,0.6538,1.2308,,106.2,3.6,129.16,103.863,2.57412,2.26283,0.6749179999999999,1.58791,17.0,,
trey alexander,2024,999.0,SG,Creighton,College/University,,75.25,,187.0,82.5,101.5,,8.75,10.0,26.5,32.0,11.37,2.92,3.21,,BE,Combo G,Jr,6-4,35.0,,17.5714,,0.504,0.3389999999999999,0.8240000000000001,0.5143,5.2286,5.7429,4.7143,1.91864406,1.0857,0.4286,,108.7,1.9,238.385,123.54,4.429250000000001,5.30935,3.10088,2.20847,26.5,2003-05-02,21.153
tyon grant foster,2024,999.0,SF,Grand Canyon,College/University,,77.75,,215.2,83.75,104.0,,8.75,9.25,,,,,,,WAC,Wing G,Sr,6-7,34.0,,20.117600000000003,,0.5,0.3309999999999999,0.745,1.3235,4.7647,6.0882000000000005,1.5882,0.63527999,1.7058999999999995,1.5294,,110.2,2.8,245.956,123.13,4.227169999999999,4.8304,2.01161,2.81879,28.8,,
cooper flagg,2025,1.0,SF-PF,Duke,College/University,DAL,79.75,,221.0,84.0,106.5,,8.75,9.75,29.0,35.5,10.64,2.92,3.3,,ACC,Stretch 4,Fr,6-9,37.0,,19.1622,,0.517,0.385,0.8400000000000001,1.3243,6.1622,7.4865,4.216200000000001,2.0,1.4053999999999998,1.3514,,123.0,2.5,268.73299999999995,146.098,5.14821,14.1669,7.20267,6.96426,30.8,2006-12-21,18.511
dylan harper,2025,2.0,PG-SG,Rutgers,College/University,SAS,76.5,,213.2,82.5,102.0,,9.25,9.25,30.5,36.5,11.07,3.05,3.16,,B10,Combo G,Fr,6-6,29.0,,19.4483,,0.5740000000000001,0.3329999999999999,0.75,0.7586,3.8276,4.586200000000001,4.0345,1.67143099,1.4483,0.5861999999999999,,115.2,2.4,172.142,134.493,3.21504,8.095680000000002,6.824839999999999,1.27084,28.8,2006-03-02,19.316
vj edgecombe,2025,3.0,PG-SG,Baylor,College/University,PHI,76.0,,193.2,79.5,101.5,,8.5,9.5,30.0,38.5,11.27,2.93,3.2,,B12,Wing G,Fr,6-5,32.0,,15.0,,0.509,0.3359999999999999,0.779,2.0303,3.5758,5.6061,3.2121,1.65623394,2.0606,0.6061,,115.8,3.1,205.449,132.694,4.01476,9.88066,6.087529999999999,3.793130000000001,24.4,2005-07-30,19.904
kon knueppel,2025,4.0,PG-SG,Duke,College/University,CHA,77.0,,219.0,78.25,101.5,,8.5,9.75,31.5,36.5,11.92,2.92,3.35,,ACC,Wing G,Fr,6-7,39.0,,14.4359,,0.5670000000000001,0.406,0.914,1.0255999999999998,2.9744,4.0,2.7436000000000003,2.01883735,1.0255999999999998,0.1538,,130.7,2.8,200.701,138.706,4.2265,9.80863,7.468809999999999,2.33982,20.9,2005-08-03,19.893
ace bailey,2025,5.0,SF-PF,Rutgers,College/University,UTA,79.5,,202.8,84.5,107.0,,8.5,9.0,27.5,34.5,10.97,2.78,3.12,,B10,Stretch 4,Fr,6-10,30.0,,17.566699999999997,,0.511,0.346,0.692,2.0667,5.1,7.1667,1.2667,0.62297746,1.0,1.2667,,106.3,3.3,189.725,121.387,3.53209,3.67931,2.41786,1.26145,26.2,2006-08-13,18.867
tre johnson,2025,6.0,PG-SG,Texas,College/University,WAS,76.75,,190.4,82.25,101.0,,8.5,8.0,32.0,37.5,10.49,3.11,3.28,,SEC,Combo G,Fr,6-6,33.0,,19.9394,,0.449,0.397,0.8710000000000001,0.3333,2.7879000000000005,3.1212,2.7273000000000005,1.4999999699999995,0.9394,0.303,,113.0,2.4,172.24599999999998,130.348,3.5983300000000003,3.63029,4.25245,-0.6221639999999999,27.3,2006-03-07,19.302
jeremiah fears,2025,7.0,PG-SG,Oklahoma,College/University,NOP,74.5,,179.6,77.25,98.5,,8.25,9.25,32.5,36.5,10.95,3.09,3.05,,SEC,Scoring PG,Fr,6-4,34.0,,17.088199999999997,,0.505,0.284,0.8510000000000001,0.7353,3.4117999999999995,4.147099999999999,4.1176,1.2068702999999998,1.6471,0.1176,,105.4,2.5,191.877,126.733,3.43154,4.760009999999999,2.9801900000000003,1.7798199999999995,31.9,2006-10-14,18.697
egor demin,2025,8.0,PG-SG,Brigham Young,College/University,BKN,80.25,,199.2,82.25,105.5,,8.25,9.25,26.5,32.0,11.31,2.93,3.33,,B12,Scoring PG,Fr,6-9,33.0,,10.6364,,0.553,0.273,0.695,0.303,3.5758,3.8788,5.4545,1.85565091,1.1515,0.3636,,102.5,1.8,169.126,116.746,3.15888,5.03765,2.98567,2.05198,25.8,2006-03-03,19.313
collin murray boyles,2025,9.0,SF-PF,South Carolina,College/University,TOR,78.5,,239.2,84.75,106.0,,8.5,10.25,29.5,34.5,11.21,2.86,3.15,,SEC,Wing F,So,6-8,32.0,,16.8125,,0.622,0.265,0.707,2.2188,6.031200000000001,8.25,2.4062,0.98715895,1.4688,1.3438,,115.8,3.3,221.514,132.651,4.15996,11.0786,4.89204,6.186529999999999,27.0,2005-06-10,20.041
khaman maluach,2025,10.0,C,Duke,College/University,HOU,84.75,,252.8,90.75,114.0,,9.75,10.25,24.0,30.0,12.05,3.44,3.5,,ACC,C,Fr,7-2,39.0,,8.5897,,0.754,0.25,0.766,2.7436000000000003,3.8462,6.589700000000001,0.5128,0.6666666199999999,0.2051,1.3077,,143.1,3.9,167.221,143.516,3.2535900000000004,10.937,6.36886,4.56816,16.8,2006-09-14,18.779
cedric coward,2025,11.0,PG-SG,Washington State,College/University,POR,77.25,,213.0,86.25,106.0,,9.25,10.0,32.5,38.5,10.97,3.02,3.06,,WCC,Stretch 4,Sr,6-6,6.0,,17.6667,,0.71,0.4,0.8390000000000001,1.8333,5.1667,7.0,3.6667,1.69229708,0.8333,1.6667,,131.3,3.2,38.8458,133.431,3.05033,8.03868,6.40487,1.6338199999999998,22.3,2003-09-11,21.788
noa essengue,2025,12.0,PF,Ratiopharm Ulm (Germany),Other Team/Club,CHI,82.0,,204.0,85.0,110.0,,8.97,10.62,,,10.7,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-12-18,18.519
derik queen,2025,13.0,C,Maryland,College/University,ATL,81.25,,247.8,84.5,109.5,,9.0,9.5,23.5,28.0,12.45,3.27,3.52,,B10,PF/C,Fr,6-10,36.0,,16.5,,0.558,0.2,0.766,2.3333,6.6389,8.9722,1.8611,0.7882342899999999,1.0833,1.0833,,113.4,2.8,251.797,127.985,4.79086,7.162129999999999,2.17559,4.986540000000001,26.9,2004-12-27,20.493
carter bryant,2025,14.0,SF-PF,Arizona,College/University,SAS,78.5,,214.8,83.75,106.0,,8.5,9.5,30.5,39.5,11.25,3.14,3.07,,B12,Stretch 4,Fr,6-8,37.0,,6.5405,,0.592,0.371,0.695,0.8649000000000001,3.2432000000000003,4.108099999999999,0.973,0.97299999,0.9459,1.0,,113.9,4.8,161.524,115.658,2.7105900000000003,9.174,3.7411,5.4329,16.0,2005-11-26,19.578
thomas sorber,2025,15.0,C,Georgetown,College/University,OKC,81.25,,262.8,90.0,109.0,,8.5,9.0,,,,,,,BE,PF/C,Fr,6-10,24.0,,14.5,,0.596,0.162,0.724,2.6667,5.7917000000000005,8.4583,2.4167,1.0740888400000002,1.4583,2.0417,,111.8,2.8,175.737,120.227,4.06652,7.529479999999999,1.4993199999999998,6.03016,24.2,2005-12-25,19.499
yang hansen,2025,16.0,C,Qingdao (China),Other Team/Club,MEM,85.0,,252.6,86.75,111.0,,10.0,11.25,26.0,30.0,11.79,3.01,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-06-26,19.997
joan beringer,2025,17.0,C,Cedevita Olimpija (Slovenia),Other Team/Club,MIN,82.0,,234.8,88.5,111.0,,9.75,10.0,28.5,32.5,11.44,2.97,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-11-11,18.62
walter clayton,2025,18.0,PG-SG,Florida,College/University,WAS,74.0,,199.0,76.0,97.5,,8.25,9.75,29.5,37.0,10.52,2.81,3.14,,SEC,Scoring PG,Sr,6-3,39.0,,18.2821,,0.534,0.386,0.8750000000000001,0.359,3.3333,3.6923,4.1795,1.73401654,1.1795,0.5128,,122.2,2.3,221.537,137.45200000000003,4.297,8.55766,6.671260000000001,1.8864,24.8,2003-03-06,22.305
nolan traore,2025,19.0,PG,Saint-Quentin BB (France),Other Team/Club,BKN,75.0,,175.0,80.0,101.5,,7.75,9.25,28.0,34.0,10.75,2.85,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-05-28,19.077
kasparas jakucionis,2025,20.0,PG-SG,Illinois,College/University,MIA,76.75,,205.2,79.75,99.5,,8.5,9.75,28.5,35.0,10.99,2.82,3.22,,B10,Wing G,Fr,6-6,33.0,,14.9697,,0.562,0.318,0.8450000000000001,1.3939,4.303,5.696999999999999,4.7273,1.2682907899999998,0.8788000000000001,0.2727,,109.3,3.3,193.24,124.427,3.88624,6.50605,4.27237,2.23368,25.6,2006-05-29,19.075
will riley,2025,21.0,SF-PF,Illinois,College/University,UTA,80.25,,185.6,80.75,104.0,,8.5,9.0,27.5,32.0,11.73,3.08,3.21,,B10,Wing F,Fr,6-8,35.0,,12.6,,0.502,0.326,0.724,1.2,2.9429,4.142899999999999,2.2286,1.85716661,0.2571,0.2857,,115.3,1.9,143.476,127.44,2.89798,4.6306400000000005,4.15766,0.472981,23.0,2006-02-10,19.37
drake powell,2025,22.0,SF-PF,North Carolina,College/University,ATL,77.25,,200.4,84.0,103.0,,8.75,10.0,37.5,43.0,10.71,2.79,3.07,,ACC,Wing G,Fr,6-6,37.0,,7.4324,,0.5690000000000001,0.379,0.648,0.7027,2.6757,3.3784,1.0811,1.4815676899999997,0.7027,0.6757,,115.8,2.7,165.797,110.866,2.79814,6.33368,3.0192499999999995,3.31443,13.3,2005-09-08,19.795
asa newell,2025,23.0,SF-PF,Georgia,College/University,NOP,81.0,,223.8,83.25,107.5,,9.25,10.0,29.5,36.5,10.95,2.78,3.26,,SEC,PF/C,Fr,6-11,33.0,,15.4242,,0.627,0.292,0.748,3.3333,3.5455,6.8788,0.8788000000000001,0.7838030699999999,1.0,0.9697,,127.8,3.3,172.895,140.251,3.55816,8.335780000000002,6.54432,1.7914599999999998,23.0,2005-10-05,19.721
nique clifford,2025,24.0,PG-SG,Colorado State,College/University,OKC,77.25,,202.0,80.0,102.5,,8.25,8.5,31.0,35.5,10.87,2.96,3.07,,MWC,Wing F,Sr,6-6,36.0,,18.9167,,0.5640000000000001,0.377,0.777,1.4722,8.138899999999998,9.6111,4.4444,1.72043496,1.1944,0.6111,,116.6,2.7,282.328,132.10899999999998,4.78007,10.4147,5.88682,4.527849999999999,27.9,2002-02-09,23.373
jase richardson,2025,25.0,PG-SG,Michigan State,College/University,ORL,72.5,,178.4,78.0,98.5,,8.5,9.5,30.5,38.0,10.97,3.08,3.22,,B10,Combo G,Fr,6-3,36.0,,12.138899999999998,,0.545,0.412,0.8360000000000001,0.6389,2.6667,3.3056,1.8889,2.266770740000001,0.8333,0.3056,,128.3,2.4,162.925,134.676,3.46682,9.038289999999998,5.675479999999999,3.36282,19.4,2005-10-16,19.691
ben saraf,2025,26.0,PG,Ratiopharm Ulm (Germany),Other Team/Club,BKN,78.0,,199.0,80.7,100.0,,9.44,8.07,,,11.1,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-14,19.198
