person_id,birth_date,birth_date_source,raw_display_first_last
12027,,common_player_info_error:KeyError,
12028,,common_player_info_error:KeyError,
12030,,common_player_info_error:KeyError,
12031,,common_player_info_error:KeyError,
12032,,common_player_info_error:KeyError,
12033,,common_player_info_error:KeyError,
12034,,common_player_info_error:KeyError,
12035,,common_player_info_error:KeyError,
12036,,common_player_info_error:KeyError,
12037,,common_player_info_error:KeyError,
12038,,common_player_info_error:KeyError,
12039,,common_player_info_error:KeyError,
12040,,common_player_info_error:KeyError,
12042,,common_player_info_error:KeyError,
12043,,common_player_info_error:KeyError,
12044,,common_player_info_error:KeyError,
12045,,common_player_info_error:KeyError,
12046,,common_player_info_error:KeyError,
12050,,common_player_info_error:KeyError,
12051,,common_player_info_error:KeyError,
12052,,common_player_info_error:KeyError,
12054,,common_player_info_error:KeyError,
12055,,common_player_info_error:KeyError,
12056,,common_player_info_error:KeyError,
12057,,common_player_info_error:KeyError,
12058,,common_player_info_error:KeyError,
12059,,common_player_info_error:KeyError,
12061,,common_player_info_error:KeyError,
12062,,common_player_info_error:KeyError,
12063,,common_player_info_error:KeyError,
12064,,common_player_info_error:KeyError,
12065,,common_player_info_error:KeyError,
12066,,common_player_info_error:KeyError,
12068,,common_player_info_error:KeyError,
12069,,common_player_info_error:KeyError,
12070,,common_player_info_error:KeyError,
12072,,common_player_info_error:KeyError,
12073,,common_player_info_error:KeyError,
12074,,common_player_info_error:KeyError,
12075,,common_player_info_error:KeyError,
12076,,common_player_info_error:KeyError,
12077,,common_player_info_error:KeyError,
12078,,common_player_info_error:KeyError,
12079,,common_player_info_error:KeyError,
12080,,common_player_info_error:KeyError,
12081,,common_player_info_error:KeyError,
12082,,common_player_info_error:KeyError,
12083,,common_player_info_error:KeyError,
12084,,common_player_info_error:KeyError,
12085,,common_player_info_error:KeyError,
12086,,common_player_info_error:KeyError,
12087,,common_player_info_error:KeyError,
12088,,common_player_info_error:KeyError,
12089,,common_player_info_error:KeyError,
12090,,common_player_info_error:KeyError,
12091,,common_player_info_error:KeyError,
12092,,common_player_info_error:KeyError,
12093,,common_player_info_error:KeyError,
12094,,common_player_info_error:KeyError,
12095,,common_player_info_error:KeyError,
12096,,common_player_info_error:KeyError,
12097,,common_player_info_error:KeyError,
12098,,common_player_info_error:KeyError,
12099,,common_player_info_error:KeyError,
12101,,common_player_info_error:KeyError,
12102,,common_player_info_error:KeyError,
12103,,common_player_info_error:KeyError,
12104,,common_player_info_error:KeyError,
12105,,common_player_info_error:KeyError,
12106,,common_player_info_error:KeyError,
12107,,common_player_info_error:KeyError,
12108,,common_player_info_error:KeyError,
12109,,common_player_info_error:KeyError,
12110,,common_player_info_error:KeyError,
12111,,common_player_info_error:KeyError,
12112,,common_player_info_error:KeyError,
12113,,common_player_info_error:KeyError,
12114,,common_player_info_error:KeyError,
12115,,common_player_info_error:KeyError,
12116,,common_player_info_error:KeyError,
12117,,common_player_info_error:KeyError,
12118,,common_player_info_error:KeyError,
12119,,common_player_info_error:KeyError,
12120,,common_player_info_error:KeyError,
12121,,common_player_info_error:KeyError,
12122,,common_player_info_error:KeyError,
12123,,common_player_info_error:KeyError,
12124,,common_player_info_error:KeyError,
12125,,common_player_info_error:KeyError,
12126,,common_player_info_error:KeyError,
12127,,common_player_info_error:KeyError,
12128,,common_player_info_error:KeyError,
12129,,common_player_info_error:KeyError,
12130,,common_player_info_error:KeyError,
12131,,common_player_info_error:KeyError,
12132,,common_player_info_error:KeyError,
12133,,common_player_info_error:KeyError,
12134,,common_player_info_error:KeyError,
12135,,common_player_info_error:KeyError,
12136,,common_player_info_error:KeyError,
12137,,common_player_info_error:KeyError,
12138,,common_player_info_error:KeyError,
12139,,common_player_info_error:KeyError,
12140,,common_player_info_error:KeyError,
12141,,common_player_info_error:KeyError,
12142,,common_player_info_error:KeyError,
12143,,common_player_info_error:KeyError,
12144,,common_player_info_error:KeyError,
12145,,common_player_info_error:KeyError,
12146,,common_player_info_error:KeyError,
12147,,common_player_info_error:KeyError,
12148,,common_player_info_error:KeyError,
12149,,common_player_info_error:KeyError,
12150,,common_player_info_error:KeyError,
12151,,common_player_info_error:KeyError,
12152,,common_player_info_error:KeyError,
12153,,common_player_info_error:KeyError,
12154,,common_player_info_error:KeyError,
12156,,common_player_info_error:KeyError,
12157,,common_player_info_error:KeyError,
12158,,common_player_info_error:KeyError,
12159,,common_player_info_error:KeyError,
12160,,common_player_info_error:KeyError,
12161,,common_player_info_error:KeyError,
12162,,common_player_info_error:KeyError,
12164,,common_player_info_error:KeyError,
12165,,common_player_info_error:KeyError,
12166,,common_player_info_error:KeyError,
12168,,common_player_info_error:KeyError,
12169,,common_player_info_error:KeyError,
12170,,common_player_info_error:KeyError,
12171,,common_player_info_error:KeyError,
12172,,common_player_info_error:KeyError,
12173,,common_player_info_error:KeyError,
12174,,common_player_info_error:KeyError,
12175,,common_player_info_error:KeyError,
12176,,common_player_info_error:KeyError,
12178,,common_player_info_error:KeyError,
12179,,common_player_info_error:KeyError,
12180,,common_player_info_error:KeyError,
12181,,common_player_info_error:KeyError,
12182,,common_player_info_error:KeyError,
12184,,common_player_info_error:KeyError,
12185,,common_player_info_error:KeyError,
12186,,common_player_info_error:KeyError,
12187,,common_player_info_error:KeyError,
12188,,common_player_info_error:KeyError,
12189,,common_player_info_error:KeyError,
12190,,common_player_info_error:KeyError,
12191,,common_player_info_error:KeyError,
12192,,common_player_info_error:KeyError,
12193,,common_player_info_error:KeyError,
12194,,common_player_info_error:KeyError,
12195,,common_player_info_error:KeyError,
12196,,common_player_info_error:KeyError,
12199,,common_player_info_error:KeyError,
12200,,common_player_info_error:KeyError,
12201,,common_player_info_error:KeyError,
12203,,common_player_info_error:KeyError,
12204,,common_player_info_error:KeyError,
12205,,common_player_info_error:KeyError,
12206,,common_player_info_error:KeyError,
12207,,common_player_info_error:KeyError,
12208,,common_player_info_error:KeyError,
12209,,common_player_info_error:KeyError,
12210,,common_player_info_error:KeyError,
12211,,common_player_info_error:KeyError,
12212,,common_player_info_error:KeyError,
12214,,common_player_info_error:KeyError,
12215,,common_player_info_error:KeyError,
12216,,common_player_info_error:KeyError,
12217,,common_player_info_error:KeyError,
12218,,common_player_info_error:KeyError,
12219,,common_player_info_error:KeyError,
12220,,common_player_info_error:KeyError,
12221,,common_player_info_error:KeyError,
12222,,common_player_info_error:KeyError,
12223,,common_player_info_error:KeyError,
12225,,common_player_info_error:KeyError,
12226,,common_player_info_error:KeyError,
12227,,common_player_info_error:KeyError,
12228,,common_player_info_error:KeyError,
12230,,common_player_info_error:KeyError,
12233,,common_player_info_error:KeyError,
