name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps
peyton watson,2022,30,SF,California-Los Angeles,College/University,OKC,78.75,80.0,203.4,84.5,107.5,5.2,8.5,9.5,28.0,33.5,11.03,3.24,3.28,
andrew nembhard,2022,31,PG,Gonzaga,College/University,IND,75.0,76.5,195.6,77.75,99.0,4.4,8.0,9.5,26.5,35.0,10.46,3.02,3.26,
caleb houstan,2022,32,,Michigan,College/University,ORL,,,,,,,,,,,,,,
christian koloko,2022,33,C,Arizona,College/University,TOR,82.75,84.0,221.0,89.25,113.0,5.7,9.0,10.75,28.0,33.5,11.3,3.19,3.27,
jaylin williams,2022,34,C,Arkansas,College/University,OKC,80.75,82.0,236.6,85.0,108.5,8.0,8.5,10.5,24.5,30.0,11.64,3.1,3.5,
max christie,2022,35,SG,Michigan State,College/University,LAL,76.25,77.75,189.2,80.75,102.5,4.8,8.0,8.5,32.0,37.5,10.82,3.02,3.07,
gabriele procida,2022,36,SG-SF,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,POR,77.75,79.75,192.8,80.0,106.0,3.8,8.0,9.25,29.5,35.0,11.02,3.14,3.07,
jaden hardy,2022,37,SG,Ignite (G League),Other Team/Club,SAC,,,,,,,,,,,,,,
kennedy chandler,2022,38,PG,Tennessee,College/University,SAS,71.5,72.5,172.2,77.25,97.0,4.4,8.5,9.5,31.0,41.5,10.73,2.89,,
khalifa diop,2022,39,C,CB Gran Canaria (Spain),Other Team/Club,CLE,,,,,,,,,,,,,,
bryce mcgowens,2022,40,SG,Nebraska,College/University,MIN,77.25,78.5,181.2,80.75,103.5,5.4,8.75,9.5,29.5,34.0,11.12,3.16,3.27,
e j liddell,2022,41,PF,Ohio State,College/University,NOP,77.5,79.0,243.0,83.75,103.5,12.2,8.25,9.25,35.5,38.0,11.11,3.23,3.26,
trevor keels,2022,42,SG,Duke,College/University,NYK,75.25,76.75,223.8,79.25,101.0,13.5,8.25,9.0,24.5,31.0,11.33,3.32,3.27,
moussa diabate,2022,43,C,Michigan,College/University,LAC,81.25,82.25,216.6,86.5,109.5,2.7,8.5,10.5,29.0,36.5,11.16,2.9,3.26,
ryan rollins,2022,44,SG,Toledo,College/University,ATL,74.0,75.25,179.2,81.75,100.5,5.0,8.0,8.5,30.5,36.5,11.26,3.28,3.07,
josh minott,2022,45,,Memphis,College/University,CHA,,,,,,,,,,,,,,
ismael kamagate,2022,46,PF,Paris (France),Other Team/Club,DET,,,,,,,,,,,,,,
vince williams,2022,47,,Virginia Commonwealth,College/University,MEM,,,,,,,,,,,,,,
kendall brown,2022,48,SF,Baylor,College/University,MIN,78.25,79.5,201.2,83.0,103.0,4.9,9.0,9.0,31.5,41.0,11.57,3.05,3.29,
isaiah mobley,2022,49,,Southern California,College/University,CLE,,,,,,,,,,,,,,
matteo spagnolo,2022,50,PG,Vanoli Cremona (Italy),Other Team/Club,MIN,76.0,77.5,196.2,80.0,102.0,8.6,8.25,10.0,25.5,31.5,11.42,3.16,3.4,
tyrese martin,2022,51,SG-SF,Connecticut,College/University,GSW,,,,,,,,,,,,,,
karlo matkovic,2022,52,,Mega Mozzart (Serbia),Other Team/Club,NOP,,,,,,,,,,,,,,
jd davison,2022,53,PG,Alabama,College/University,BOS,72.5,74.5,191.8,78.5,99.5,7.8,8.5,9.5,30.0,37.0,11.38,3.23,3.26,
yannick nzosa,2022,54,,Unicaja Baloncesto Malaga (Spain),Other Team/Club,WAS,,,,,,,,,,,,,,
gui santos,2022,55,,Associacao Atletica Ponte Preta (Brazil),Other Team/Club,GSW,,,,,,,,,,,,,,
luke travers,2022,56,,Perth Wildcats (Australia),Other Team/Club,CLE,,,,,,,,,,,,,,
jabari walker,2022,57,PF,Colorado,College/University,POR,78.75,80.0,213.8,82.75,105.0,12.1,8.75,9.75,29.5,32.5,11.53,3.12,3.24,
hugo besson,2022,58,SG,Breakers (New Zealand),Other Team/Club,IND,76.5,77.75,180.4,77.5,102.0,8.8,7.5,8.5,24.5,31.5,11.36,3.25,3.4,
alondes williams,2022,999,SG,,,,75.75,77.0,209.0,79.0,102.0,7.2,8.5,9.25,30.0,35.5,10.96,3.11,3.15,
aminu mohammed,2022,999,SG-SF,,,,75.5,77.0,212.8,83.0,104.0,5.1,8.75,9.5,29.5,36.0,11.54,3.04,3.33,
bryson williams,2022,999,PF-C,,,,,,,,,,,,,,,,,
collin gillespie,2022,999,PG,,,,73.5,74.75,195.8,76.0,98.0,8.6,8.25,9.0,26.5,33.0,10.95,3.01,3.21,
darius days,2022,999,SF-PF,,,,,,,,,,,,,,,,,
dereon seabron,2022,999,SG,,,,76.75,77.75,182.4,80.75,103.5,4.0,8.5,9.5,30.5,38.0,11.03,3.04,3.12,
dominick barlow,2022,999,PF,,,,80.75,81.75,221.0,87.0,108.5,5.9,9.0,10.5,28.5,34.0,11.29,3.19,3.33,
drew timme,2022,999,C,,,,80.25,81.25,231.6,86.0,107.5,15.7,9.0,10.0,25.5,31.5,11.71,3.31,3.38,
fanbo zeng,2022,999,SF-PF,,,,,,,,,,,,,,,,,
harrison ingram,2022,999,SF,,,,77.25,79.0,232.8,84.25,103.5,8.3,9.0,10.0,29.5,35.0,11.83,3.26,3.31,
iverson molinar,2022,999,PG,,,,74.25,75.25,183.2,80.0,101.0,4.8,8.5,9.5,31.0,38.0,11.23,3.1,3.19,
jalen wilson,2022,999,SF-PF,,,,,,,,,,,,,,,,,
jared rhoden,2022,999,SG-SF,,,,,,,,,,,,,,,,,
jean montero,2022,999,PG,,,,73.0,74.25,171.8,77.25,98.5,7.4,8.0,8.75,29.5,37.0,11.19,3.17,3.17,
john butler,2022,999,PF,,,,83.75,84.75,174.4,86.25,112.0,4.7,8.5,8.75,26.5,28.5,11.16,3.04,3.33,
johnny juzang,2022,999,SG,,,,77.25,78.5,208.6,83.0,102.5,7.5,8.5,9.5,27.5,32.5,11.03,3.17,3.29,
josh minnott,2022,999,PF,,,,,,,,,,,,,,,,,
julian champagnie,2022,999,SF,,,,78.25,79.75,212.4,82.0,107.0,7.1,8.75,9.25,28.5,34.5,11.39,3.04,3.14,
julian strawther,2022,999,SF,,,,77.75,79.0,207.6,81.5,104.5,7.9,8.25,8.5,28.5,35.0,10.3,3.37,3.26,
