name,draft_year,overall_pick,position,organization,organization_type,draft_team_abbreviation,height_wo_shoes_in,height_w_shoes_in,weight_lbs,wingspan_in,standing_reach_in,body_fat_pct,hand_length_in,hand_width_in,standing_vertical_leap_in,max_vertical_leap_in,lane_agility_time_sec,modified_lane_agility_time_sec,three_quarter_sprint_sec,bench_press_reps
archie goodwin,2013,29,SG,Kentucky,College/University,OKC,75.75,77.25,189.0,81.5,102.0,4.55,8.5,9.0,30.0,36.0,10.75,3.41,3.27,1.0
nemanja nedovic,2013,30,,BC Lietuvos rytas (Lithuania),Other Team/Club,PHX,,,,,,,,,,,,,,
allen crabbe,2013,31,SG,California,College/University,CLE,77.25,78.25,197.4,83.25,103.5,4.65,8.25,8.5,30.5,36.0,10.67,3.1,3.32,10.0
alex abrines,2013,32,,FC Barcelona Basquet (Spain),Other Team/Club,OKC,,,,,,,,,,,,,,
carrick felix,2013,33,SF-SG,Arizona State,College/University,CLE,76.75,78.25,202.6,81.25,103.5,3.3,8.5,9.5,32.0,38.5,11.16,3.09,3.25,15.0
isaiah canaan,2013,34,PG,Murray State,College/University,HOU,71.0,72.0,188.4,76.5,94.5,5.9,8.25,9.5,33.0,40.5,10.98,2.89,3.22,16.0
glen rice,2013,35,SF-SG,Michigan,College/University,PHI,76.5,77.75,210.8,81.25,101.5,8.45,8.5,9.0,33.0,40.5,10.99,3.08,3.25,10.0
ray mccallum,2013,36,PG,Detroit Mercy,College/University,SAC,72.25,73.75,191.4,75.25,96.5,7.3,8.0,8.75,30.5,40.0,10.82,3.08,3.25,5.0
tony mitchell,2013,37,PF-SF,North Texas,College/University,DET,79.5,80.75,236.4,86.5,106.5,5.55,9.0,10.0,33.5,38.0,11.82,3.25,3.52,13.0
nate wolters,2013,38,PG,South Dakota State,College/University,WAS,75.5,76.75,196.4,75.75,98.0,5.5,8.25,8.75,,,,,,8.0
jeff withey,2013,39,C,Kansas,College/University,POR,82.75,84.5,221.8,86.0,110.5,8.65,9.0,9.75,26.5,29.0,12.49,3.29,3.47,10.0
grant jerrett,2013,40,PF,Arizona,College/University,POR,80.75,82.25,232.0,86.0,109.0,10.05,8.5,9.25,28.5,34.0,11.85,3.23,3.51,2.0
jamaal franklin,2013,41,SG-SF,San Diego State,College/University,MEM,76.0,77.25,190.8,83.25,103.5,8.25,8.5,8.25,,,,,,
pierre jackson,2013,42,PG,Baylor,College/University,PHI,69.5,70.5,176.0,70.0,90.0,4.5,7.5,8.25,,,,,,
ricky ledo,2013,43,SG,Providence,College/University,MIL,76.75,78.0,197.2,79.25,102.5,10.25,8.5,9.25,27.0,33.5,10.72,3.16,3.32,4.0
mike muscala,2013,44,C-PF,Bucknell,College/University,DAL,82.25,83.5,230.2,85.0,108.0,6.8,8.5,9.0,28.0,33.5,11.76,2.99,3.44,5.0
marko todorovic,2013,45,,FC Barcelona Basquet (Spain),Other Team/Club,POR,,,,,,,,,,,,,,
erick green,2013,46,PG,Virginia Tech,College/University,UTA,73.5,75.0,178.2,77.75,98.0,4.35,8.5,9.0,,,,,,5.0
raul neto,2013,47,,San Sebastian Gipuzkoa BC (Spain),Other Team/Club,ATL,,,,,,,,,,,,,,
ryan kelly,2013,48,PF,Duke,College/University,LAL,81.75,83.75,228.0,83.5,110.0,14.75,9.0,10.0,,,,,,
erik murphy,2013,49,PF,Florida,College/University,CHI,80.75,81.5,239.8,82.5,108.0,7.95,8.75,9.75,24.5,29.5,12.19,2.96,3.57,13.0
james ennis,2013,50,SF,Long Beach State,College/University,ATL,77.75,79.0,200.8,83.5,104.5,4.5,8.5,8.75,29.5,36.5,11.55,3.06,3.4,7.0
romero osby,2013,51,,Oklahoma,College/University,ORL,,,,,,,,,,,,,,
lorenzo brown,2013,52,PG,North Carolina State,College/University,MIN,76.0,77.25,189.2,79.0,100.0,3.95,8.25,8.5,28.0,34.0,11.78,3.24,3.4,8.0
colton iverson,2013,53,C,Colorado State,College/University,IND,82.5,84.0,262.8,86.0,110.0,9.6,9.25,9.5,26.5,30.0,11.52,3.04,3.52,12.0
arsalan kazemi,2013,54,,Oregon,College/University,WAS,,,,,,,,,,,,,,
joffrey lauvergne,2013,55,,KK Partizan (Serbia),Other Team/Club,MEM,,,,,,,,,,,,,,
peyton siva,2013,56,PG,Louisville,College/University,DET,71.5,73.0,180.6,75.0,93.0,6.05,8.0,9.75,33.5,41.5,10.59,2.93,3.16,15.0
alex oriakhi,2013,57,,Missouri,College/University,PHX,,,,,,,,,,,,,,
deshaun thomas,2013,58,SF,Ohio State,College/University,SAS,77.0,79.0,219.8,82.0,104.0,9.1,8.0,8.75,28.5,32.0,12.94,3.38,3.53,5.0
bojan dubljevic,2013,59,,Valencia BC (Spain),Other Team/Club,MIN,,,,,,,,,,,,,,
janis timma,2013,60,,BK Ventspils (Latvia),Other Team/Club,MEM,,,,,,,,,,,,,,
adonis thomas,2013,999,SF,,,,76.75,77.75,231.8,85.0,99.0,7.5,9.25,9.5,34.5,40.5,11.64,3.11,3.32,13.0
bj young,2013,999,SG-PG,,,,74.25,75.5,178.8,80.25,99.0,4.7,8.5,9.5,,,,,,
brandon davies,2013,999,PF,,,,80.5,82.25,241.8,85.5,108.5,8.6,9.0,11.0,26.0,31.5,11.22,3.14,3.5,7.0
brandon paul,2013,999,SG,,,,74.75,76.0,201.0,82.25,98.0,5.25,8.5,9.5,33.5,39.5,11.16,2.9,3.37,15.0
cj leslie,2013,999,PF-SF,,,,79.5,80.75,209.2,86.25,104.5,7.95,8.75,9.0,32.5,40.5,10.19,2.79,3.1,
dewayne dedmon,2013,999,C,,,,82.0,83.5,238.8,88.0,109.0,8.35,9.0,11.0,28.0,32.5,12.75,3.26,3.4,8.0
jackie carmichael,2013,999,PF,,,,79.5,81.0,241.2,85.5,107.0,5.8,9.0,10.25,30.0,32.0,11.83,3.07,3.35,13.0
james southerland,2013,999,SF-PF,,,,79.0,80.0,220.6,85.0,106.0,8.05,8.0,9.5,29.0,32.0,10.9,3.03,3.38,5.0
kenny kadji,2013,999,PF-C,,,,80.75,82.0,241.6,87.0,106.5,7.45,9.0,10.25,34.0,38.0,11.47,2.88,3.44,9.0
myck kabongo,2013,999,PG,,,,73.25,74.75,180.4,78.25,98.0,6.0,8.25,9.0,27.5,33.5,10.64,2.86,3.44,2.0
norvel pelle,2013,999,PF-C,,,,81.5,82.5,207.2,86.5,109.0,5.15,8.75,9.5,31.0,34.5,11.49,3.2,3.32,0.0
phil pressey,2013,999,PG,,,,69.5,71.5,177.0,74.25,92.0,4.7,7.75,9.75,33.0,38.5,10.86,3.02,3.13,7.0
richard howell,2013,999,PF,,,,78.25,79.5,249.6,82.25,105.5,8.75,8.75,9.5,,,,,,
robert covington,2013,999,SF-PF,,,,78.25,79.5,208.6,85.75,106.0,4.7,9.0,8.5,29.5,36.0,11.69,3.1,3.34,9.0
seth curry,2013,999,SG,,,,73.0,75.0,179.2,76.0,97.5,9.6,8.0,8.25,,,,,,
trevor mbakwe,2013,999,PF,,,,78.75,80.0,235.8,88.0,106.5,5.9,9.5,11.5,30.0,36.5,12.01,2.97,3.32,21.0
vander blue,2013,999,SG,,,,75.5,77.25,197.4,78.0,100.5,4.6,8.5,9.5,28.0,37.5,10.4,2.7,3.14,4.0
will clyburn,2013,999,SF-SG,,,,77.75,79.0,210.4,84.25,105.0,6.85,9.25,10.25,28.0,34.5,11.68,3.12,3.38,3.0
andrew wiggins,2014,1,,Kansas,College/University,CLE,,,,,,,,,,,,,,
jabari parker,2014,2,,Duke,College/University,MIL,,,,,,,,,,,,,,
joel embiid,2014,3,,Kansas,College/University,PHI,,,,,,,,,,,,,,
aaron gordon,2014,4,PF,Arizona,College/University,ORL,79.5,80.75,220.1,83.75,105.0,5.05,8.75,10.5,32.5,39.0,10.81,2.76,3.27,
dante exum,2014,5,SG,Australian Institute of Sport (Australia),Other Team/Club,UTA,76.5,78.0,196.3,81.5,103.0,6.4,8.5,9.5,31.5,34.5,10.75,2.88,3.19,
marcus smart,2014,6,PG,Oklahoma State,College/University,BOS,74.0,75.25,227.2,81.25,99.0,10.55,9.0,8.75,33.0,36.0,10.82,2.96,3.26,
julius randle,2014,7,PF,Kentucky,College/University,LAL,79.75,81.0,249.7,84.0,105.5,9.4,8.75,8.25,29.0,35.5,11.45,3.14,3.27,
nik stauskas,2014,8,SG,Michigan,College/University,SAC,77.25,78.5,206.9,79.75,102.0,12.05,8.5,8.5,29.0,35.5,10.79,2.92,3.27,
noah vonleh,2014,9,PF,Indiana,College/University,CHA,80.0,81.5,247.1,88.25,108.0,7.3,9.75,11.75,31.0,37.0,11.45,3.29,3.28,
elfrid payton,2014,10,PG,Louisiana-Lafayette,College/University,PHI,74.5,75.75,185.4,80.0,98.5,5.65,8.75,9.0,31.5,35.5,11.06,2.92,3.23,
doug mcdermott,2014,11,SF,Creighton,College/University,DEN,78.25,79.75,218.0,81.25,103.0,7.1,8.75,9.75,28.5,36.5,11.1,3.15,3.29,
dario saric,2014,12,,KK Cibona (Croatia),Other Team/Club,ORL,,,,,,,,,,,,,,
zach lavine,2014,13,PG,California-Los Angeles,College/University,MIN,76.5,77.75,180.9,80.25,100.0,4.7,8.25,8.75,33.5,41.5,10.42,2.8,3.19,
t j warren,2014,14,SF,North Carolina State,College/University,PHX,79.0,80.25,220.2,82.25,104.0,7.95,8.75,9.0,27.0,35.5,11.1,3.04,3.26,
adreian payne,2014,15,PF,Michigan State,College/University,ATL,81.0,81.75,238.5,88.0,109.0,7.55,9.25,9.5,,,,,,
jusuf nurkic,2014,16,,KK Cedevita (Croatia),Other Team/Club,CHI,,,,,,,,,,,,,,
james young,2014,17,SG,Kentucky,College/University,BOS,77.25,78.75,213.3,84.0,104.0,5.1,9.0,9.5,28.0,35.5,,,,
tyler ennis,2014,18,PG,Syracuse,College/University,PHX,73.0,74.5,181.5,79.25,98.0,6.2,8.25,8.75,29.0,36.0,11.12,2.84,3.3,
gary harris,2014,19,SG,Michigan State,College/University,CHI,74.5,76.5,204.8,78.75,96.0,4.55,8.5,9.5,,,,,,
bruno caboclo,2014,20,,Esporte Clube Pinheiros (Brazil),Other Team/Club,TOR,,,,,,,,,,,,,,
mitch mcgary,2014,21,,Michigan,College/University,OKC,,,,,,,,,,,,,,
jordan adams,2014,22,SG,California-Los Angeles,College/University,MEM,75.5,76.75,208.8,82.0,102.0,10.8,8.5,7.5,24.5,29.5,12.13,3.05,3.5,
rodney hood,2014,23,SF,Duke,College/University,UTA,79.25,80.5,208.2,80.5,103.0,7.45,8.5,8.5,29.0,36.0,11.21,3.14,3.38,
shabazz napier,2014,24,PG,Connecticut,College/University,CHA,71.0,73.0,175.2,75.25,93.0,7.35,8.25,8.5,30.5,37.5,11.6,3.13,3.2,
clint capela,2014,25,,Elan Chalon (France),Other Team/Club,HOU,,,,,,,,,,,,,,
pj hairston,2014,26,SG,Texas Legends (D-League),Other Team/Club,MIA,76.25,77.25,228.8,81.0,101.0,8.2,8.75,9.75,32.0,37.0,11.12,,3.32,
bogdan bogdanovic,2014,27,,KK Partizan (Serbia),Other Team/Club,PHX,,,,,,,,,,,,,,
c j wilcox,2014,28,SG,Washington,College/University,LAC,75.5,77.0,201.0,81.75,100.5,6.5,8.75,9.0,31.0,37.5,11.3,2.92,3.22,
josh huestis,2014,29,,Stanford,College/University,OKC,,,,,,,,,,,,,,
kyle anderson,2014,30,SF,California-Los Angeles,College/University,SAS,79.5,80.5,230.1,86.75,107.5,13.35,8.25,8.75,,,,,,
damien inglis,2014,31,,Chorale Roanne Basket (France),Other Team/Club,MIL,,,,,,,,,,,,,,
kj mcdaniels,2014,32,SF,Clemson,College/University,PHI,76.5,78.0,195.6,83.25,102.0,4.45,8.75,9.75,33.0,37.0,12.71,3.2,3.1,
joe harris,2014,33,SG,Virginia,College/University,CLE,76.75,78.25,215.0,78.0,100.0,6.2,8.5,9.75,28.5,33.5,11.11,2.92,3.31,
cleanthony early,2014,34,SF,Wichita State,College/University,NYK,78.0,79.25,209.4,82.75,101.5,4.45,8.5,9.0,34.0,40.0,11.15,2.96,3.18,
jarnell stokes,2014,35,PF,Tennessee,College/University,UTA,79.0,80.5,262.8,85.25,103.5,8.2,9.75,10.5,31.0,36.0,11.92,3.2,3.26,
johnny o bryant,2014,36,PF,Louisiana State,College/University,MIL,79.25,80.5,256.8,86.25,105.0,10.75,9.25,9.5,31.0,35.5,11.57,3.32,3.45,
deandre daniels,2014,37,SF,Connecticut,College/University,TOR,79.25,80.5,196.0,86.0,106.5,3.85,9.25,10.5,26.5,32.0,11.46,3.04,3.44,
spencer dinwiddie,2014,38,PG,Colorado,College/University,DET,76.5,78.0,204.9,80.25,103.0,5.35,8.25,9.0,,,,,,
jerami grant,2014,39,SF,Syracuse,College/University,PHI,78.5,79.75,214.0,86.75,107.0,3.75,9.25,9.25,,,,,,
glenn robinson,2014,40,SF,Michigan,College/University,MIN,77.5,78.75,211.4,82.0,100.5,5.05,9.0,9.5,36.5,41.5,11.22,3.04,3.15,
nikola jokic,2014,41,,KK Mega Leks (Serbia),Other Team/Club,DEN,,,,,,,,,,,,,,
nick johnson,2014,42,SG,Arizona,College/University,HOU,73.5,75.0,198.0,79.25,96.5,6.05,8.75,9.75,33.5,41.5,10.8,2.95,3.27,
edy tavares,2014,43,,CB Gran Canaria (Spain),Other Team/Club,ATL,,,,,,,,,,,,,,
markel brown,2014,44,SG,Oklahoma State,College/University,MIN,74.5,75.5,184.4,80.75,100.0,4.2,8.25,9.75,36.5,43.5,12.62,2.9,3.18,
dwight powell,2014,45,PF,Stanford,College/University,CHA,81.5,83.0,234.4,84.5,105.0,6.2,9.0,9.25,28.5,35.0,11.28,2.88,3.2,
jordan clarkson,2014,46,PG,Missouri,College/University,WAS,75.25,77.0,186.3,80.0,98.0,4.3,8.25,9.0,33.0,38.5,10.76,2.98,3.28,
russ smith,2014,47,PG,Louisville,College/University,PHI,71.5,72.75,160.0,75.5,95.0,3.5,8.25,8.5,29.5,34.0,11.57,3.01,3.27,
lamar patterson,2014,48,SG,Pittsburgh,College/University,MIL,76.0,77.25,226.0,83.0,101.0,10.75,9.0,9.25,27.5,32.5,11.63,3.13,3.45,
cameron bairstow,2014,49,PF,New Mexico,College/University,CHI,80.75,81.75,252.4,84.75,107.0,8.7,8.75,9.0,31.0,33.5,11.39,3.09,3.37,
alec brown,2014,50,PF,Wisconsin-Green Bay,College/University,PHX,84.25,85.25,231.2,85.5,109.0,7.7,9.25,8.75,27.0,30.0,12.05,2.91,3.48,
thanasis antetokounmpo,2014,51,SF,Delaware 87ers (D-League),Other Team/Club,NYK,77.25,78.25,205.2,84.0,104.5,6.05,9.0,9.75,31.5,39.5,11.39,3.05,3.18,
vasilije micic,2014,52,,KK Mega Leks (Serbia),Other Team/Club,PHI,,,,,,,,,,,,,,
alessandro gentile,2014,53,,Olimpia Milano (Italy),Other Team/Club,MIN,,,,,,,,,,,,,,
nemanja dangubic,2014,54,,KK Mega Leks (Serbia),Other Team/Club,PHI,,,,,,,,,,,,,,
semaj christon,2014,55,PG,Xavier,College/University,MIA,73.5,75.25,186.0,78.5,99.0,5.25,8.5,8.25,30.5,36.5,11.55,3.21,3.32,
devyn marble,2014,56,SG,Iowa,College/University,DEN,77.0,78.5,192.4,81.0,102.0,6.9,8.25,8.5,29.0,35.0,11.32,3.08,3.28,
louis labeyrie,2014,57,,Paris-Levallois Basket (France),Other Team/Club,IND,,,,,,,,,,,,,,
jordan mcrae,2014,58,SG,Tennessee,College/University,SAS,75.75,77.25,179.4,84.5,104.0,5.2,8.75,8.5,27.5,34.5,11.07,3.15,3.39,
xavier thames,2014,59,PG,San Diego State,College/University,TOR,74.25,75.5,187.0,76.0,96.0,6.4,8.25,9.0,29.0,32.5,11.48,3.02,3.48,
cory jefferson,2014,60,PF,Baylor,College/University,SAS,79.75,81.0,218.4,84.5,105.0,5.25,8.75,9.75,33.0,37.5,12.63,3.39,3.36,
aaron craft,2014,999,PG,,,,72.75,73.75,191.6,74.0,94.5,6.1,7.75,8.5,29.0,32.0,10.78,2.9,3.26,
alex kirk,2014,999,PF,,,,81.25,82.75,252.0,87.5,109.5,13.6,9.25,10.5,28.5,31.5,11.2,3.19,3.48,
c j fair,2014,999,SF,,,,78.5,80.0,218.1,81.5,104.0,5.05,9.0,9.0,27.0,35.0,11.0,3.06,3.32,
deonte burton,2014,999,PG,,,,72.0,73.25,192.8,79.0,97.5,7.65,8.25,8.0,29.0,39.5,11.28,3.08,3.28,
jabari brown,2014,999,SG,,,,75.0,76.25,201.9,80.25,100.0,6.05,9.0,9.25,28.0,32.0,11.6,3.26,3.5,
james mcadoo,2014,999,PF,,,,79.5,80.75,227.6,86.25,106.5,6.15,9.25,9.0,29.5,34.0,11.61,2.91,3.28,
jordan bachynski,2014,999,PF,,,,85.25,86.0,254.1,88.0,108.5,7.45,9.25,10.0,29.0,33.0,12.15,3.03,3.36,
kendall williams,2014,999,PG,,,,74.25,75.75,183.0,77.5,99.0,7.2,8.0,7.75,27.0,33.0,10.83,2.85,,
khem birch,2014,999,PF,,,,79.5,81.25,208.8,85.0,107.0,6.0,9.0,8.5,30.5,35.5,11.6,3.24,3.26,
laquinton ross,2014,999,SF,,,,78.5,79.5,238.7,85.75,106.0,16.3,8.75,9.75,25.0,31.0,11.97,3.52,3.44,
melvin ejim,2014,999,SF,,,,77.25,79.0,218.5,83.25,103.5,6.45,8.75,9.25,29.5,35.0,11.55,3.12,3.14,
patric young,2014,999,PF,,,,80.5,82.0,246.8,85.75,103.5,5.45,9.25,9.5,32.0,37.5,11.18,3.06,3.43,
sean kilpatrick,2014,999,SG,,,,74.5,76.25,218.7,79.0,99.0,9.2,9.0,9.0,,,,,,
karl anthony towns,2015,1,,Kentucky,College/University,MIN,,,,,,,,,,,,,,
d angelo russell,2015,2,PG-SG,Ohio State,College/University,LAL,75.25,77.0,193.4,81.75,102.0,8.3,8.75,9.75,,,,,,
jahlil okafor,2015,3,,Duke,College/University,PHI,,,,,,,,,,,,,,
kristaps porzingis,2015,4,,CB Sevilla (Spain),Other Team/Club,NYK,,,,,,,,,,,,,,
mario hezonja,2015,5,,FC Barcelona Basquet (Spain),Other Team/Club,ORL,,,,,,,,,,,,,,
willie cauley stein,2015,6,C,Kentucky,College/University,SAC,83.25,84.5,242.4,87.0,111.0,6.3,9.5,9.0,,,,,,
emmanuel mudiay,2015,7,,Guangdong Southern Tigers (China),Other Team/Club,DEN,,,,,,,,,,,,,,
stanley johnson,2015,8,SF,Arizona,College/University,DET,77.0,78.5,241.8,83.5,102.0,7.5,9.0,9.0,,,,,,
frank kaminsky,2015,9,C-PF,Wisconsin,College/University,CHA,83.75,84.75,231.2,83.0,109.5,9.4,8.5,9.5,,,,,,
justise winslow,2015,10,SF,Duke,College/University,MIA,76.5,78.5,221.8,82.25,104.5,5.3,8.5,9.25,,,,,,
myles turner,2015,11,C-PF,Texas,College/University,IND,81.75,83.5,238.6,88.0,112.0,9.3,9.25,9.25,,,,,,
trey lyles,2015,12,PF,Kentucky,College/University,UTA,81.0,82.25,241.2,85.5,108.0,12.1,9.25,10.25,,,,,,
devin booker,2015,13,SG,Kentucky,College/University,PHX,76.5,77.75,205.8,80.25,102.5,8.3,8.75,9.0,27.5,34.5,10.27,2.75,3.28,8.0
cameron payne,2015,14,PG,Murray State,College/University,OKC,72.75,73.5,182.8,79.25,97.5,6.3,8.5,8.25,29.75,35.5,10.9,2.93,3.28,0.0
kelly oubre,2015,15,SF-SG,Kansas,College/University,ATL,77.75,78.75,202.8,86.25,102.5,5.7,9.0,8.75,34.5,37.0,11.09,3.12,3.32,7.0
terry rozier,2015,16,PG-SG,Louisville,College/University,BOS,72.5,74.25,190.2,80.25,98.5,5.6,8.25,8.5,33.0,38.0,10.84,2.84,3.15,7.0
rashad vaughn,2015,17,SG,Nevada-Las Vegas,College/University,MIL,75.75,77.0,198.6,79.0,101.0,6.2,8.0,8.5,28.0,34.0,11.4,3.1,3.21,5.0
sam dekker,2015,18,SF,Wisconsin,College/University,HOU,79.75,81.0,218.6,83.5,106.0,7.5,8.5,9.25,25.5,34.5,10.64,2.96,3.28,5.0
jerian grant,2015,19,PG,Notre Dame,College/University,WAS,75.25,76.25,198.0,79.5,100.0,5.6,8.25,8.5,,,,,,
delon wright,2015,20,PG,Utah,College/University,TOR,76.25,77.5,181.4,79.5,101.5,6.6,8.0,8.5,29.5,31.0,11.16,3.5,3.29,4.0
justin anderson,2015,21,SF-SG,Virginia,College/University,DAL,77.25,78.25,230.6,83.75,101.0,5.0,8.5,9.5,38.0,43.0,11.13,2.88,3.22,12.0
bobby portis,2015,22,PF,Arkansas,College/University,CHI,81.5,82.5,246.2,86.0,108.5,8.9,9.5,9.25,25.0,31.5,11.78,3.28,3.56,5.0
rondae hollis jefferson,2015,23,SF,Arizona,College/University,POR,77.5,79.0,210.8,86.0,104.0,5.0,8.75,9.75,32.0,38.0,10.41,3.19,3.12,13.0
tyus jones,2015,24,PG,Duke,College/University,CLE,72.5,74.0,184.6,77.0,97.0,6.5,8.25,8.75,26.5,32.5,11.84,2.95,3.32,2.0
jarell martin,2015,25,PF,Louisiana State,College/University,MEM,80.0,81.25,238.6,81.0,106.5,10.1,8.25,9.5,28.5,35.0,11.2,2.97,3.27,19.0
nikola milutinov,2015,26,,KK Partizan (Serbia),Other Team/Club,SAS,,,,,,,,,,,,,,
larry nance,2015,27,PF,Wyoming,College/University,LAL,79.5,80.5,226.6,85.5,108.0,6.4,9.0,9.75,29.0,37.5,10.93,3.01,3.25,10.0
rj hunter,2015,28,SG,Georgia State,College/University,BOS,76.5,78.0,185.0,82.5,104.0,6.0,8.5,8.25,27.5,33.5,10.87,2.91,3.26,1.0
chris mccullough,2015,29,PF,Syracuse,College/University,BKN,80.25,81.0,199.0,87.25,109.0,6.2,8.75,8.75,,,,,,
kevon looney,2015,30,PF,California-Los Angeles,College/University,GSW,80.0,81.25,222.4,87.5,110.0,11.9,9.5,9.25,,,,,,
cedi osman,2015,31,,Anadolu Efes S.K. (Turkey),Other Team/Club,MIN,,,,,,,,,,,,,,
montrezl harrell,2015,32,PF,Louisville,College/University,HOU,79.0,79.5,253.4,88.25,109.0,11.9,9.0,9.75,,,,,,
jordan mickey,2015,33,PF,Louisiana State,College/University,BOS,79.0,80.25,238.0,87.25,106.0,7.2,8.75,9.5,33.0,37.5,11.72,3.13,3.28,9.0
anthony brown,2015,34,SF-SG,Stanford,College/University,LAL,77.75,79.25,211.0,83.0,104.5,6.1,8.5,9.0,27.5,34.5,10.94,3.29,3.18,4.0
willy hernangomez,2015,35,,CB Sevilla (Spain),Other Team/Club,PHI,,,,,,,,,,,,,,
rakeem christmas,2015,36,PF-C,Syracuse,College/University,MIN,80.25,81.75,242.6,89.25,110.5,9.6,9.25,9.0,29.0,32.0,11.6,3.3,3.47,9.0
richaun holmes,2015,37,PF,Bowling Green,College/University,PHI,80.25,81.5,242.8,85.5,108.0,8.8,8.5,8.5,32.5,36.0,11.24,3.31,3.32,15.0
darrun hilliard,2015,38,,Villanova,College/University,DET,,,,,,,,,,,,,,
juan pablo vaulet,2015,39,,Bahia Basket (Argentina),Other Team/Club,CHA,,,,,,,,,,,,,,
josh richardson,2015,40,,Tennessee,College/University,MIA,,,,,,,,,,,,,,
pat connaughton,2015,41,SG,Notre Dame,College/University,BKN,76.0,77.25,215.0,80.0,96.0,10.2,8.5,9.25,37.5,44.0,10.58,3.08,3.2,13.0
olivier hanlan,2015,42,PG-SG,Boston College,College/University,UTA,75.25,76.25,185.8,78.0,100.0,4.3,8.0,8.75,28.0,34.0,11.41,3.12,3.25,19.0
joe young,2015,43,,Oregon,College/University,IND,,,,,,,,,,,,,,
andrew harrison,2015,44,PG,Kentucky,College/University,PHX,76.5,77.5,213.2,81.0,100.0,5.9,8.25,9.25,26.5,33.0,11.2,,3.34,
marcus thornton,2015,45,PG-SG,William & Mary,College/University,BOS,73.75,74.75,177.4,79.75,97.5,5.3,8.25,8.5,34.5,43.0,10.78,2.88,3.02,3.0
norman powell,2015,46,SG,California-Los Angeles,College/University,MIL,75.0,76.25,215.4,82.75,102.5,6.4,9.25,9.0,32.5,40.5,10.69,3.2,3.2,5.0
arturas gudaitis,2015,47,,BC Zalgiris (Lithuania),Other Team/Club,PHI,,,,,,,,,,,,,,
dakari johnson,2015,48,C,Kentucky,College/University,OKC,83.0,83.75,264.6,86.0,112.0,14.9,9.25,10.5,22.5,25.0,11.76,2.94,3.62,4.0
aaron white,2015,49,,Iowa,College/University,WAS,,,,,,,,,,,,,,
marcus eriksson,2015,50,,FC Barcelona Basquet (Spain),Other Team/Club,ATL,,,,,,,,,,,,,,
tyler harvey,2015,51,SG,Eastern Washington,College/University,ORL,74.75,76.0,181.4,77.5,98.5,9.2,7.75,8.75,26.0,28.5,10.56,2.93,3.44,1.0
satnam singh,2015,52,,IMG Academy,High School,DAL,,,,,,,,,,,,,,
sir dominic pointer,2015,53,,St. John's (NY),College/University,CLE,,,,,,,,,,,,,,
daniel diez,2015,54,,San Sebastian Gipuzkoa BC (Spain),Other Team/Club,UTA,,,,,,,,,,,,,,
cady lalanne,2015,55,,Massachusetts,College/University,SAS,,,,,,,,,,,,,,
branden dawson,2015,56,PF,Michigan State,College/University,NOP,77.5,78.75,230.2,83.0,105.0,5.8,9.0,8.75,28.5,34.5,12.22,3.53,3.2,12.0
nikola radicevic,2015,57,,CB Sevilla (Spain),Other Team/Club,DEN,,,,,,,,,,,,,,
jp tokoto,2015,58,SF-SG,North Carolina,College/University,PHI,77.25,78.25,195.8,82.0,100.5,4.1,8.0,8.75,34.5,40.0,10.97,3.2,3.27,12.0
dimitrios agravanis,2015,59,,Olympiacos B.C. (Greece),Other Team/Club,ATL,,,,,,,,,,,,,,
luka mitrovic,2015,60,,Red Star Belgrade (Serbia),Other Team/Club,PHI,,,,,,,,,,,,,,
aaron harrison,2015,999,SG,,,,76.5,78.0,209.2,80.25,100.5,6.0,8.75,10.0,28.5,34.5,,,3.27,1.0
alan williams,2015,999,PF,,,,79.25,80.25,261.4,85.75,106.5,12.0,8.5,9.5,25.5,28.5,12.26,3.54,3.5,8.0
brandon ashley,2015,999,PF,,,,79.25,80.5,228.0,87.75,105.0,8.8,9.0,9.5,31.5,35.5,11.21,3.35,3.58,9.0
chasson randle,2015,999,PG,,,,72.25,73.5,178.8,79.0,96.5,4.5,8.5,9.5,33.5,39.5,10.63,2.81,3.2,6.0
chris walker,2015,999,PF,,,,80.75,81.25,208.0,86.75,108.0,5.1,9.0,9.0,30.5,37.0,11.25,3.41,3.35,6.0
christian wood,2015,999,PF,,,,81.25,82.5,216.0,87.25,111.5,14.7,9.25,10.75,,,,,,
cliff alexander,2015,999,PF-C,,,,79.25,80.5,239.2,87.5,109.5,5.8,9.5,10.25,,,,,,
corey hawkins,2015,999,SG-PG,,,,72.75,73.75,191.8,80.0,99.5,5.5,8.75,9.0,28.5,34.0,10.81,,3.51,9.0
dez wells,2015,999,SG,,,,75.0,76.0,208.8,81.5,100.5,8.1,8.75,9.75,31.5,39.0,10.56,3.05,3.2,15.0
jonathan holmes,2015,999,PF-SF,,,,80.25,81.25,242.2,83.5,107.5,7.2,8.25,9.5,25.5,31.0,10.95,3.12,3.51,
keifer sykes,2015,999,PG,,,,70.5,71.75,167.2,74.0,93.0,5.0,8.5,9.5,34.0,43.0,10.47,3.15,3.13,8.0
michael frazier,2015,999,SG,,,,75.75,76.25,199.4,80.0,101.5,7.4,8.25,9.25,27.0,35.0,10.66,3.02,3.32,10.0
michael qualls,2015,999,SG-SF,,,,76.0,77.0,201.4,84.25,104.5,4.0,9.0,10.25,34.0,39.5,11.88,,3.18,9.0
