name,draft_year,sportsref_player_raw,sportsref_url,sportsref_match_method,sportsref_match_score,sportsref_school,sportsref_conf,sportsref_season,sportsref_games,sportsref_games_started,sportsref_mpg,sportsref_ppg,sportsref_rpg,sportsref_apg,sportsref_spg,sportsref_bpg,sportsref_tpg,sportsref_fg_pct,sportsref_two_pct,sportsref_three_pct,sportsref_ft_pct
rashad mccants,2005,rashad mccants,https://www.sports-reference.com/cbb/players/rashad-mccants-1.html,slug_search,100.0,UNC,ACC,2004-05,33.0,30.0,25.9,16.0,3.0,2.7,1.3,0.7,1.9,0.489,0.544,0.423,0.722
raymond felton,2005,raymond felton,https://www.sports-reference.com/cbb/players/raymond-felton-1.html,slug_search,100.0,UNC,ACC,2004-05,36.0,35.0,31.7,12.9,4.3,6.9,2.0,0.3,3.6,0.455,0.468,0.44,0.701
robert whaley,2005,robert whaley,https://www.sports-reference.com/cbb/players/robert-whaley-1.html,slug_search,100.0,Cincinnati,CUSA,2003-04,22.0,3.0,13.0,5.8,2.5,0.6,0.3,0.4,1.1,0.348,0.35,0.0,0.66
ronny turiaf,2005,ronny turiaf,https://www.sports-reference.com/cbb/players/ronny-turiaf-1.html,slug_search,100.0,Gonzaga,WCC,2004-05,31.0,31.0,31.2,15.9,9.5,1.5,0.4,1.9,2.3,0.508,0.513,0.286,0.683
ryan gomes,2005,ryan gomes,https://www.sports-reference.com/cbb/players/ryan-gomes-1.html,slug_search,100.0,Providence,Big East,2004-05,31.0,31.0,37.5,21.6,8.2,3.2,1.5,0.2,2.5,0.496,0.54,0.38,0.77
salim stoudamire,2005,salim stoudamire,https://www.sports-reference.com/cbb/players/salim-stoudamire-1.html,slug_search,100.0,Arizona,Pac-10,2004-05,36.0,33.0,31.3,18.4,2.3,2.2,0.8,0.1,2.4,0.504,0.503,0.504,0.91
sean may,2005,sean may,https://www.sports-reference.com/cbb/players/sean-may-1.html,slug_search,100.0,UNC,ACC,2004-05,37.0,36.0,26.8,17.5,10.7,1.7,1.2,1.0,2.5,0.567,0.571,0.0,0.758
travis diener,2005,travis diener,https://www.sports-reference.com/cbb/players/travis-diener-1.html,slug_search,100.0,Marquette,CUSA,2004-05,23.0,22.0,34.0,19.7,3.9,7.0,1.3,0.0,2.5,0.42,0.438,0.405,0.838
von wafer,2005,von wafer,https://www.sports-reference.com/cbb/players/von-wafer-1.html,slug_search,100.0,Florida St.,ACC,2004-05,29.0,22.0,26.1,12.5,2.5,1.7,1.0,0.3,1.7,0.437,0.492,0.396,0.721
wayne simien,2005,wayne simien,https://www.sports-reference.com/cbb/players/wayne-simien-1.html,slug_search,100.0,Kansas,Big 12,2004-05,26.0,26.0,34.3,20.3,11.0,1.4,0.6,0.6,2.3,0.552,0.563,0.286,0.816
adam morrison,2006,adam morrison,https://www.sports-reference.com/cbb/players/adam-morrison-1.html,slug_search,100.0,Gonzaga,WCC,2005-06,33.0,32.0,36.5,28.1,5.5,1.7,1.1,0.3,2.3,0.496,0.523,0.428,0.772
alexander johnson,2006,alexander johnson,https://www.sports-reference.com/cbb/players/alexander-johnson-1.html,slug_search,100.0,Florida St.,ACC,2005-06,29.0,28.0,24.9,13.2,7.4,0.7,1.1,1.0,2.8,0.54,0.573,0.31,0.706
bobby jones,2006,bobby jones,https://www.sports-reference.com/cbb/players/bobby-jones-2.html,slug_search,100.0,Washington,Pac-10,2005-06,33.0,33.0,26.5,10.4,4.9,1.3,1.2,0.5,2.0,0.473,0.556,0.33,0.746
brandon roy,2006,brandon roy,https://www.sports-reference.com/cbb/players/brandon-roy-1.html,slug_search,100.0,Washington,Pac-10,2005-06,33.0,33.0,31.7,20.2,5.6,4.1,1.4,0.8,2.3,0.508,0.537,0.402,0.81
cedric simmons,2006,cedric simmons,https://www.sports-reference.com/cbb/players/cedric-simmons-1.html,slug_search,100.0,NC State,ACC,2005-06,32.0,31.0,27.5,11.8,6.3,1.7,0.7,2.5,1.8,0.587,0.583,1.0,0.678
craig smith,2006,craig smith,https://www.sports-reference.com/cbb/players/craig-smith-1.html,slug_search,100.0,Boston College,ACC,2005-06,36.0,36.0,36.3,17.6,9.4,3.0,1.2,0.8,2.5,0.573,0.587,0.083,0.643
daniel gibson,2006,daniel gibson,https://www.sports-reference.com/cbb/players/daniel-gibson-1.html,slug_search,100.0,Texas,Big 12,2005-06,37.0,37.0,33.2,13.4,3.6,3.1,1.3,0.3,1.9,0.405,0.456,0.38,0.726
david noel,2006,david noel,https://www.sports-reference.com/cbb/players/david-noel-1.html,slug_search,100.0,UNC,ACC,2005-06,31.0,31.0,33.7,12.9,6.8,3.5,1.1,0.7,3.1,0.532,0.58,0.424,0.625
dee brown,2006,dee brown,https://www.sports-reference.com/cbb/players/dee-brown-2.html,slug_search,100.0,Illinois,Big Ten,2005-06,33.0,33.0,35.8,14.2,3.1,5.8,1.6,0.0,2.8,0.359,0.407,0.321,0.757
denham brown,2006,denham brown,https://www.sports-reference.com/cbb/players/denham-brown-1.html,slug_search,100.0,UConn,Big East,2005-06,32.0,20.0,23.6,10.7,4.4,1.4,0.8,0.4,1.7,0.403,0.439,0.326,0.868
guillermo diaz,2006,guillermo diaz,https://www.sports-reference.com/cbb/players/guillermo-diaz-1.html,slug_search,100.0,Miami (FL),ACC,2005-06,34.0,34.0,35.2,17.2,2.9,2.9,1.1,0.2,2.0,0.415,0.458,0.364,0.789
hassan adams,2006,hassan adams,https://www.sports-reference.com/cbb/players/hassan-adams-1.html,slug_search,100.0,Arizona,Pac-10,2005-06,31.0,30.0,33.3,17.5,5.0,2.9,2.6,0.5,2.2,0.478,0.511,0.262,0.611
hilton armstrong,2006,hilton armstrong,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,slug_search,100.0,UConn,Big East,2005-06,34.0,33.0,27.7,9.7,6.6,0.7,0.6,3.1,2.3,0.608,0.609,0.5,0.692
james augustine,2006,james augustine,https://www.sports-reference.com/cbb/players/james-augustine-1.html,slug_search,100.0,Illinois,Big Ten,2005-06,33.0,33.0,32.7,13.6,9.1,1.8,1.4,0.7,2.0,0.624,0.625,0.5,0.651
james white,2006,james white,https://www.sports-reference.com/cbb/players/james-white-1.html,slug_search,100.0,Cincinnati,Big East,2005-06,33.0,33.0,33.5,16.3,5.1,2.0,1.1,0.8,2.3,0.488,0.552,0.374,0.838
jj redick,2006,j j redick,https://www.sports-reference.com/cbb/players/jj-redick-1.html,slug_search,94.73684210526316,Duke,ACC,2005-06,36.0,36.0,37.1,26.8,2.0,2.6,1.4,0.1,2.5,0.47,0.521,0.421,0.863
jordan farmar,2006,jordan farmar,https://www.sports-reference.com/cbb/players/jordan-farmar-1.html,slug_search,100.0,UCLA,Pac-10,2005-06,37.0,37.0,30.4,13.5,2.6,5.1,1.1,0.2,3.6,0.41,0.472,0.333,0.717
